country,player,position,club,age,jersey_number,squad_status,announcement_date,group,confederation,is_final_squad
México,"( 1998-09-19 ) September 19, 1998 (Aged 27)",Defensa,Unknown,26,3,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-09-20 ) September 20, 1998 (Aged 27)",Defensa,Unknown,26,8,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-10-08 ) October 8, 1998 (Aged 27)",Defensa,Unknown,26,56,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-10-14 ) October 14, 1998 (Aged 27)",Defensa,Unknown,26,10,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-10-15 ) October 15, 1998 (Aged 27)",Defensa,Unknown,26,25,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-10-16 ) October 16, 1998 (Aged 27)",Defensa,Unknown,26,47,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-10-22 ) October 22, 1998 (Aged 27)",Defensa,Unknown,26,44,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-10-27 ) October 27, 1998 (Aged 27)",Defensa,Unknown,26,4,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-11-04 ) November 4, 1998 (Aged 27)",Defensa,Unknown,26,95,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-11-05 ) November 5, 1998 (Aged 27)",Defensa,Unknown,26,22,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-11-12 ) November 12, 1998 (Aged 27)",Defensa,Unknown,26,5,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-11-16 ) November 16, 1998 (Aged 27)",Defensa,Unknown,26,25,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-11-23 ) November 23, 1998 (Aged 27)",Defensa,Unknown,26,5,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-12-05 ) December 5, 1998 (Aged 27)",Defensa,Unknown,26,32,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-12-26 ) December 26, 1998 (Aged 27)",Defensa,Unknown,26,17,Final,2026-05-26,A,CONCACAF,1
México,"( 1999-01-12 ) January 12, 1999 (Aged 27)",Defensa,Unknown,26,17,Final,2026-05-26,A,CONCACAF,1
México,"( 1999-01-13 ) January 13, 1999 (Aged 27)",Defensa,Unknown,26,4,Final,2026-05-26,A,CONCACAF,1
México,"( 1999-01-14 ) January 14, 1999 (Aged 27)",Defensa,Polokwane City,26,2,Final,2026-05-26,A,CONCACAF,1
México,"( 1999-02-01 ) February 1, 1999 (Aged 27)",Defensa,Unknown,26,34,Final,2026-05-26,A,CONCACAF,1
México,"( 1999-02-09 ) February 9, 1999 (Aged 27)",Defensa,Unknown,26,50,Final,2026-05-26,A,CONCACAF,1
México,"( 1999-02-22 ) February 22, 1999 (Aged 27)",Defensa,Unknown,26,21,Final,2026-05-26,A,CONCACAF,1
México,"( 1999-02-25 ) February 25, 1999 (Aged 27)",Defensa,Unknown,26,22,Final,2026-05-26,A,CONCACAF,1
México,"( 1999-02-28 ) February 28, 1999 (Aged 27)",Defensa,Unknown,26,5,Final,2026-05-26,A,CONCACAF,1
México,"( 1999-03-05 ) March 5, 1999 (Aged 27)",Defensa,Unknown,26,4,Final,2026-05-26,A,CONCACAF,1
México,"( 1999-03-09 ) March 9, 1999 (Aged 27)",Defensa,Unknown,26,19,Final,2026-05-26,A,CONCACAF,1
México,"( 1999-03-18 ) March 18, 1999 (Aged 27)",Defensa,Manchester United,26,33,Final,2026-05-26,A,CONCACAF,1
México,"( 1999-04-03 ) April 3, 1999 (Aged 27)",Defensa,Unknown,26,43,Final,2026-05-26,A,CONCACAF,1
México,"( 1999-04-20 ) April 20, 1999 (Aged 27)",Defensa,Unknown,26,25,Final,2026-05-26,A,CONCACAF,1
México,"( 1999-05-12 ) May 12, 1999 (Aged 27)",Defensa,Unknown,26,21,Final,2026-05-26,A,CONCACAF,1
